model,stage,eval,roc_auc,auprc,precision,recall,f1,support_pos,support_neg,notes
DecisionTree,stage1,Dataset1-val,0.8826556870818322,0.728992638406536,0.6111111111111112,0.7586206896551724,0.676923076923077,,,stage1
MLP,stage1,Dataset1-val,0.968605249613999,0.7922625161651211,0.76,0.6551724137931034,0.7037037037037037,,,stage1
DecisionTree,stage1,Dataset2-test,0.9589983684471873,0.9142449648379294,0.825,0.8918918918918919,0.8571428571428571,,,stage1
MLP,stage1,Dataset2-test,0.9662339504859191,0.9374400043042432,0.8714285714285714,0.8243243243243243,0.8472222222222222,,,stage1
SVC,stage1,Dataset2-test,0.9641413066609917,0.9308652368832409,0.8227848101265823,0.8783783783783784,0.8496732026143791,,,stage1
mlp_finetuned,stage2,Dataset2-test,0.9671561325104633,0.9382546811004571,0.8732394366197183,0.8378378378378378,0.8551724137931033,74,381,stage2
dt_retrained,stage2,Dataset2-test,0.9906185713272326,0.9623779823779824,0.9733333333333334,0.9864864864864865,0.9798657718120806,74,381,stage2
svc_stage1,stage2,Dataset2-test,0.9669078527346244,0.9358556296305875,0.8148148148148148,0.8918918918918919,0.8516129032258065,74,381,stage2
